text,label
sumpah ini gue baru aja ngeliat fans nya agnes mo nge war di tl??,-1
@myxynerva coba dengerin lagunya agnes mo yg pas thun 2000an,0
"@aewin86 Agnes mo #siBungsu 
Ngasal banget aku om😭😭😭",0
"nah mangkanya stream lagu indo atau western aja
yaampun sekalian nostalgia tadi agnes mo matahariku https://t.co/bkrEDPf60t",0
Agnez Mo tapi (Waktu Jadi Agnes Monica) https://t.co/5JXOVqrCxU,0
Ini kak agnes mo cantik bgt 🎼 https://t.co/xi8SJGbazN,1
@Shandy_UN1TY Jangan bilang kalian duet sama kak Agnes Mo ya 🤔🤔,0
Ku telah jatuh cinta ~ Agnes mo https://t.co/6bKxVHteCk,0
Mb Wendy cocok nyenyong lagu Agnes Mo,0
@nyonyasukamuljo Wkwkwk mau sama bapaknya uniol ngeri sama ci agnes😂 katanya mo tidur ta ya,0
@bukanagnesmo aku bingung ni km agnes mo apa bukan🥺,0
News update Meski kurang diaspirasi Shoppee yg korea minded  dalam waktu indonesa belaja di bulan November Lazada 1… https://t.co/WO6NYYisqq,0
sebuah rasa - agnes mo https://t.co/t7fZVtMr3j,0
@jshuahaee Ketemu agnes mo lagii😍😍,0
agnes mo satu acara lg sm Seventeen omo omo omo 😱 https://t.co/t3k0GcRunv,0
"bau bau collab sama agnes mo ga si? wkkwk
aamiin in aja lah yaa",0
@upilnya_un1ty semoga collab sama agnes mo ya 🙃,0
@kkummambam YA ALLAH TEH SEBONG MASIH INGET AGNES MO GAK YAAA😭😭,0
Kalo di ina seventeen dan agnes mo bertemu lagi 😭😭 https://t.co/x2BSmJeoi6,0
"@varkjimin @inaivatco @SharonLee94 @urwande @yanney0081 @retno_wiranti Waduh rame, kayaknya yg Roger ja itu judulny… https://t.co/tKcsQ433l8",0
"Kalo kata Agnes Mo, kadang kadang tak ada logika. https://t.co/ycaJ2oYuke",0
"🤣🤣 tp serius aku juga kebetulan lagi pantengin tv terus ads lazada muncul. Kukira itu svt, ternyata agnes mo sama v… https://t.co/QCKfmGY3wV",0
"cinta laura x maudy ayunda x agnes mo x prilly 
kalo di mata najwa bahas politik sampe millennial keknya perfect combo sih",1
Suka agnes mo yg dulu sih termasuk fisiknya sebelum berotot bgt wkwkw 8/10 https://t.co/T2fR5jwxRz,1
@convomfs Rate lagu Agnes Mo yang dulu,0
@smileafterkiss Biar berotot lengannya kyak agnes mo 💃,0
Agnes Mo Pesiar di Laut Lepas #Shorts https://t.co/7jeMc8whPz lewat @YouTube,0
